kod	nazev	strom
87.2	Sociální péče v zařízeních pro osoby s chronickým duševním onemocněním a osoby závislé na návykových látkách	Q/87/87.2/
87.3	Sociální péče v domovech pro seniory a osoby se zdravotním postižením	Q/87/87.3/
87.9	Ostatní pobytové služby sociální péče	Q/87/87.9/
88.1	Ambulantní nebo terénní sociální služby pro seniory a osoby se zdravotním postižením	Q/88/88.1/
88.9	Ostatní ambulantní nebo terénní sociální služby	Q/88/88.9/
90.0	Tvůrčí, umělecké a zábavní činnosti	R/90/90.0/
91.0	Činnosti knihoven, archivů, muzeí a jiných kulturních zařízení	R/91/91.0/
92.0	Činnosti heren, kasin a sázkových kanceláří	R/92/92.0/
93.1	Sportovní činnosti	R/93/93.1/
93.2	Ostatní zábavní a rekreační činnosti	R/93/93.2/
94.1	Činnosti podnikatelských, zaměstnavatelských a profesních organizací	S/94/94.1/
94.2	Činnosti odborových svazů	S/94/94.2/
94.9	Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů	S/94/94.9/
95.1	Opravy počítačů a komunikačních zařízení	S/95/95.1/
95.2	Opravy výrobků pro osobní potřebu a převážně pro domácnost	S/95/95.2/
96.0	Poskytování ostatních osobních služeb	S/96/96.0/
97.0	Činnosti domácností jako zaměstnavatelů domácího personálu	T/97/97.0/
98.1	Činnosti domácností produkujících blíže neurčené výrobky pro vlastní potřebu	T/98/98.1/
98.2	Činnosti domácností poskytujících blíže neurčené služby pro vlastní potřebu	T/98/98.2/
99.0	Činnosti exteritoriálních organizací a orgánů	U/99/99.0/
01.11	Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen	A/01/01.1/01.11/
01.12	Pěstování rýže	A/01/01.1/01.12/
01.13	Pěstování zeleniny a melounů, kořenů a hlíz	A/01/01.1/01.13/
01.14	Pěstování cukrové třtiny	A/01/01.1/01.14/
01.15	Pěstování tabáku	A/01/01.1/01.15/
01.16	Pěstování přadných rostlin	A/01/01.1/01.16/
01.19	Pěstování ostatních plodin jiných než trvalých	A/01/01.1/01.19/
01.21	Pěstování vinných hroznů	A/01/01.2/01.21/
01.22	Pěstování tropického a subtropického ovoce	A/01/01.2/01.22/
01.23	Pěstování citrusových plodů	A/01/01.2/01.23/
01.24	Pěstování jádrového a peckového ovoce	A/01/01.2/01.24/
01.25	Pěstování ostatního stromového a keřového ovoce a ořechů	A/01/01.2/01.25/
01.26	Pěstování olejnatých plodů	A/01/01.2/01.26/
01.27	Pěstování rostlin pro výrobu nápojů	A/01/01.2/01.27/
01.28	Pěstování koření, aromatických, léčivých a farmaceutických rostlin	A/01/01.2/01.28/
01.29	Pěstování ostatních trvalých plodin	A/01/01.2/01.29/
01.30	Množení rostlin	A/01/01.3/01.30/
01.41	Chov mléčného skotu	A/01/01.4/01.41/
01.42	Chov jiného skotu	A/01/01.4/01.42/
01.43	Chov koní a jiných koňovitých	A/01/01.4/01.43/
01.44	Chov velbloudů a velbloudovitých	A/01/01.4/01.44/
01.45	Chov ovcí a koz	A/01/01.4/01.45/
01.46	Chov prasat	A/01/01.4/01.46/
01.47	Chov drůbeže	A/01/01.4/01.47/
01.49.1	Chov drobných hospodářských zvířat	A/01/01.4/01.49.1/
01.49.2	Chov kožešinových zvířat	A/01/01.4/01.49.2/
01.49.3	Chov zvířat pro zájmový chov	A/01/01.4/01.49.3/
01.49.9	Chov ostatních zvířat j. n.	A/01/01.4/01.49.9/
