kód	název	strom
931	Pomocní pracovníci v oblasti těžby a stavebnictví	9/93/931/
932	Pomocní pracovníci ve výrobě	9/93/932/
933	Pomocní pracovníci v dopravě a skladování	9/93/933/
941	Pomocní pracovníci při přípravě jídla	9/94/941/
951	Pracovníci pouličního poskytování služeb	9/95/951/
952	Pouliční prodejci (kromě potravin)	9/95/952/
961	Pracovníci s odpady	9/96/961/
962	Ostatní pomocní pracovníci	9/96/962/
011	Generálové a důstojníci v ozbrojených silách	0/01/011/
021	Poddůstojníci v ozbrojených silách	0/02/021/
031	Zaměstnanci v ozbrojených silách (kromě generálů, důstojníků a poddůstojníků)	0/03/031/
1112	Nejvyšší státní úředníci	1/11/111/1112/
1113	Představitelé samosprávy	1/11/111/1113/
1114	Nejvyšší představitelé politických, zájmových a příbuzných organizací	1/11/111/1114/
1111	Představitelé zákonodárné a výkonné moci	1/11/111/1111/
1120	Nejvyšší představitelé společností a institucí (kromě politických, zájmových a příbuzných organizací)	1/11/112/1120/
1211	Řídící pracovníci v oblasti financí (kromě finančních a pojišťovacích služeb)	1/12/121/1211/
1212	Řídící pracovníci v oblasti lidských zdrojů	1/12/121/1212/
1213	Řídící pracovníci v oblasti strategie a politiky organizací	1/12/121/1213/
1219	Ostatní řídící pracovníci v oblasti správy podniku, administrativních a podpůrných činností	1/12/121/1219/
1221	Řídící pracovníci v oblasti obchodu, marketingu a v příbuzných oblastech	1/12/122/1221/
1222	Řídící pracovníci v oblasti reklamy a styku s veřejností	1/12/122/1222/
1223	Řídící pracovníci v oblasti výzkumu a vývoje	1/12/122/1223/
1311	Řídící pracovníci v zemědělství, lesnictví, myslivosti a v oblasti životního prostředí	1/13/131/1311/
1312	Řídící pracovníci v rybářství a akvakultuře	1/13/131/1312/
1321	Řídící pracovníci v průmyslové výrobě	1/13/132/1321/
1322	Řídící pracovníci v těžbě a geologii	1/13/132/1322/
1323	Řídící pracovníci ve stavebnictví a zeměměřictví	1/13/132/1323/
1324	Řídící pracovníci v dopravě, logistice a příbuzných oborech	1/13/132/1324/
1330	Řídící pracovníci v oblasti informačních a komunikačních technologií	1/13/133/1330/
1345	Řídící pracovníci v oblasti vzdělávání	1/13/134/1345/
1346	Řídící pracovníci v oblasti finančních a pojišťovacích služeb	1/13/134/1346/
1349	Řídící pracovníci knihoven, muzeí, v oblasti práva a bezpečnosti a v dalších oblastech	1/13/134/1349/
1341	Řídící pracovníci v oblasti péče o děti	1/13/134/1341/
1343	Řídící pracovníci v oblasti péče o seniory	1/13/134/1343/
1342	Řídící pracovníci v oblasti zdravotnictví	1/13/134/1342/
1344	Řídící pracovníci v sociální oblasti (kromě péče o seniory)	1/13/134/1344/
1412	Řídící pracovníci v oblasti stravovacích služeb	1/14/141/1412/
1411	Řídící pracovníci v oblasti ubytovacích služeb	1/14/141/1411/
1420	Řídící pracovníci v maloobchodě a velkoobchodě	1/14/142/1420/
1431	Řídící pracovníci v oblasti kultury, vydavatelství, sportu a zábavy	1/14/143/1431/
1439	Řídící pracovníci v ostatních službách (cestovní kanceláře, nemovitosti, opravárenské služby, osobní služby a jiné)	1/14/143/1439/
2111	Fyzici a astronomové	2/21/211/2111/
2112	Meteorologové	2/21/211/2112/
2113	Chemici (kromě chemického inženýrství)	2/21/211/2113/
2114	Geologové, geofyzici a příbuzní pracovníci	2/21/211/2114/
2120	Specialisté v oblasti matematiky, statistiky a pojistné matematiky	2/21/212/2120/
2131	Biologové, botanici, zoologové a příbuzní specialisté	2/21/213/2131/
2132	Specialisté v oblasti zemědělství, lesnictví, rybářství a vodního hospodářství	2/21/213/2132/
2133	Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie)	2/21/213/2133/
2141	Specialisté v oblasti průmyslového inženýrství a v příbuzných oblastech	2/21/214/2141/
2142	Stavební inženýři	2/21/214/2142/
2143	Specialisté v oblasti průmyslové ekologie	2/21/214/2143/
2144	Strojní inženýři	2/21/214/2144/
2145	Chemičtí inženýři a specialisté v příbuzných oborech	2/21/214/2145/
2146	Důlní a hutní inženýři a specialisté v příbuzných oborech	2/21/214/2146/
2149	Specialisté v oblasti techniky v ostatních oborech	2/21/214/2149/
2151	Inženýři elektrotechnici a energetici	2/21/215/2151/
2152	Inženýři elektronici	2/21/215/2152/
2153	Inženýři v oblasti elektronických komunikací (včetně radiokomunikací)	2/21/215/2153/
2166	Grafici a výtvarníci v multimédiích	2/21/216/2166/
2165	Kartografové a zeměměřiči	2/21/216/2165/
2161	Stavební architekti	2/21/216/2161/
2163	Průmysloví a produktoví designéři, módní návrháři	2/21/216/2163/
