kód	název	strom
31227	Mistři a příbuzní pracovníci ve sklářství, výrobě keramiky a bižuterie	3/31/312/3122/31227
31229	Mistři a příbuzní pracovníci v ostatní výrobě	3/31/312/3122/31229
31226	Mistři a příbuzní pracovníci v textilní a kožedělné výrobě a v obuvnictví	3/31/312/3122/31226
31221	Mistři a příbuzní pracovníci v elektrotechnice a energetice	3/31/312/3122/31221
31224	Mistři a příbuzní pracovníci v chemii, farmacii a potravinářství	3/31/312/3122/31224
31223	Mistři a příbuzní pracovníci ve strojírenství	3/31/312/3122/31223
31222	Mistři a příbuzní pracovníci v elektronice	3/31/312/3122/31222
31228	Mistři a příbuzní pracovníci v gumárenství a plastikářství	3/31/312/3122/31228
31225	Mistři a příbuzní pracovníci v dřevařství, papírenství a polygrafii	3/31/312/3122/31225
31230	Mistři a příbuzní pracovníci ve stavebnictví	3/31/312/3123/31230
31352	Operátoři velínů ve slévárenství	3/31/313/3135/31352
31353	Operátoři velínů v kovovýrobě	3/31/313/3135/31353
31354	Operátoři velínů ve válcovnách plechu	3/31/313/3135/31354
31359	Ostatní operátoři velínů na zpracování kovů	3/31/313/3135/31359
31351	Operátoři velínů v hutní výrobě	3/31/313/3135/31351
31391	Operátoři velínů v betonárnách	3/31/313/3139/31391
31392	Operátoři velínů montážních linek	3/31/313/3139/31392
31399	Ostatní operátoři velínů jinde neuvedení	3/31/313/3139/31399
31330	Operátoři velínů pro chemickou výrobu (kromě zpracování ropy a zemního plynu)	3/31/313/3133/31330
31311	Operátoři velínů na výrobu a rozvod elektrické energie	3/31/313/3131/31311
31312	Operátoři velínů na výrobu a rozvod tepla	3/31/313/3131/31312
31340	Operátoři velínů pro zpracování ropy a zemního plynu	3/31/313/3134/31340
31321	Operátoři velínů spaloven	3/31/313/3132/31321
31322	Operátoři velínů vodárenských a vodohospodářských zařízení	3/31/313/3132/31322
31419	Technici v ostatních oborech příbuzných biologii (kromě zdravotnických)	3/31/314/3141/31419
31413	Technici v oboru zoologie	3/31/314/3141/31413
31412	Technici v oboru botanika	3/31/314/3141/31412
31411	Technici v oboru biologie	3/31/314/3141/31411
31414	Technici v oboru ekologie	3/31/314/3141/31414
31415	Laboranti v biologických a příbuzných oborech	3/31/314/3141/31415
31421	Technici agronomové	3/31/314/3142/31421
31422	Zootechnici	3/31/314/3142/31422
31423	Zahradní technici	3/31/314/3142/31423
31424	Technici v oblasti rybářství	3/31/314/3142/31424
31425	Technici v oblasti vodohospodářství (kromě úpravy a rozvodu vody)	3/31/314/3142/31425
31429	Ostatní technici v oblasti zemědělství	3/31/314/3142/31429
31430	Technici v oblasti lesnictví a myslivosti	3/31/314/3143/31430
31550	Elektrotechnici řídících a navigačních zařízení letového provozu	3/31/315/3155/31550
31510	Lodní technici	3/31/315/3151/31510
31520	Lodní důstojníci a lodivodi	3/31/315/3152/31520
31532	Letečtí navigátoři	3/31/315/3153/31532
31533	Letečtí instruktoři	3/31/315/3153/31533
31534	Palubní technici letadel	3/31/315/3153/31534
31535	Palubní operátoři	3/31/315/3153/31535
31536	Operátoři bezpilotních letadel (dronů)	3/31/315/3153/31536
31531	Piloti	3/31/315/3153/31531
31540	Řídící letového provozu	3/31/315/3154/31540
32149	Ostatní odborní pracovníci v oblasti zubní techniky, ortotiky a protetiky	3/32/321/3214/32149
32141	Technici v oblasti ortotiky a protetiky	3/32/321/3214/32141
32142	Zubní technici	3/32/321/3214/32142
32143	Ortotici-protetici	3/32/321/3214/32143
32144	Asistenti zubních techniků	3/32/321/3214/32144
32130	Farmaceutičtí asistenti	3/32/321/3213/32130
32111	Radiologičtí technici	3/32/321/3211/32111
32119	Ostatní technici a asistenti pro obsluhu lékařských zařízení	3/32/321/3211/32119
32113	Biomedicínští technici	3/32/321/3211/32113
32112	Radiologičtí asistenti	3/32/321/3211/32112
32121	Zdravotní laboranti	3/32/321/3212/32121
32122	Laboratorní asistenti	3/32/321/3212/32122
32129	Ostatní odborní laboranti v oblasti zdravotnictví	3/32/321/3212/32129
32211	Všeobecné sestry bez specializace (kromě dětských sester)	3/32/322/3221/32211
32213	Dětské sestry bez specializace	3/32/322/3221/32213
32220	Porodní asistentky bez specializace	3/32/322/3222/32220
32300	Odborní pracovníci v oblasti tradiční a alternativní medicíny	3/32/323/3230/32300
32400	Veterinární technici a asistenti	3/32/324/3240/32400
32599	Ostatní odborní pracovníci v oblasti zdravotnictví jinde neuvedení	3/32/325/3259/32599
32591	Ergoterapeuti bez specializace	3/32/325/3259/32591
32592	Nutriční asistenti	3/32/325/3259/32592
32593	Asistenti behaviorálních analytiků, behaviorální technici	3/32/325/3259/32593
32560	Praktické sestry	3/32/325/3256/32560
32570	Asistenti ochrany veřejného zdraví	3/32/325/3257/32570
32540	Odborní pracovníci v oblasti oční optiky	3/32/325/3254/32540
32530	Odborní pracovníci v oblasti komunitní zdravotní péče	3/32/325/3253/32530
32520	Technici pro lékařské záznamy a informace o zdravotním stavu	3/32/325/3252/32520
32510	Dentální hygienisti	3/32/325/3251/32510
32580	Zdravotničtí záchranáři	3/32/325/3258/32580
32559	Ostatní odborní pracovníci v oblasti rehabilitace	3/32/325/3255/32559
32551	Fyzioterapeuti bez specializace	3/32/325/3255/32551
32553	Odborní maséři ve zdravotnictví	3/32/325/3255/32553
33110	Zprostředkovatelé finančních transakcí a finanční makléři	3/33/331/3311/33110
33122	Přepážkoví konzultanti v peněžnictví	3/33/331/3312/33122
33129	Ostatní odborní pracovníci v oblasti peněžnictví	3/33/331/3312/33129
33121	Odborní poradci v peněžnictví	3/33/331/3312/33121
33136	Odborní pracovníci financování a úvěrování	3/33/331/3313/33136
33139	Ostatní odborní pracovníci v oblasti účetnictví a ekonomiky	3/33/331/3313/33139
33138	Odborní pracovníci v oblasti personalistiky, ekonomové práce	3/33/331/3313/33138
33137	Odborní pracovníci kalkulací, cen, nákladů a rozpočtů	3/33/331/3313/33137
33134	Odborní plánovači a odborní účetní materiáloví	3/33/331/3313/33134
33133	Odborní účetní finanční a investiční	3/33/331/3313/33133
33132	Odborní účetní mzdoví	3/33/331/3313/33132
33131	Odborní účetní všeobecní	3/33/331/3313/33131
33135	Odborní fakturanti	3/33/331/3313/33135
33142	Odborní pracovníci v oblasti statistiky	3/33/331/3314/33142
33143	Odborní pracovníci v oblasti pojistné matematiky	3/33/331/3314/33143
33141	Odborní pracovníci v oblasti matematiky	3/33/331/3314/33141
33151	Odhadci a zbožíznalci	3/33/331/3315/33151
33152	Likvidátoři	3/33/331/3315/33152
33230	Nákupčí	3/33/332/3323/33230
33240	Obchodní makléři	3/33/332/3324/33240
33220	Obchodní zástupci	3/33/332/3322/33220
33219	Ostatní odborní pracovníci v oblasti pojišťovnictví	3/33/332/3321/33219
33211	Odborní pojišťovací poradci	3/33/332/3321/33211
33212	Přepážkoví konzultanti v pojišťovnách	3/33/332/3321/33212
33320	Organizátoři konferencí a událostí	3/33/333/3332/33320
33339	Ostatní odborní pracovníci úřadů práce a pracovních agentur	3/33/333/3333/33339
33337	Odborní profesní poradci služeb zaměstnanosti	3/33/333/3333/33337
33333	Odborní pracovníci evidence a podpory	3/33/333/3333/33333
33336	Odborní kontroloři služeb zaměstnanosti	3/33/333/3333/33336
33332	Odborní pracovníci trhu práce	3/33/333/3333/33332
33331	Odborní zprostředkovatelé práce	3/33/333/3333/33331
33335	Odborní pracovníci zahraniční zaměstnanosti	3/33/333/3333/33335
33334	Odborní pracovníci rekvalifikací	3/33/333/3333/33334
33340	Realitní makléři	3/33/333/3334/33340
33396	Kulturní referenti	3/33/333/3339/33396
33397	Reklamační referenti	3/33/333/3339/33397
33395	Umělečtí agenti	3/33/333/3339/33395
33394	Sportovní agenti	3/33/333/3339/33394
33393	Aukcionáři (dražebníci)	3/33/333/3339/33393
33392	Obchodní referenti	3/33/333/3339/33392
33391	Pracovníci v oblasti marketingu, propagace a reklamy	3/33/333/3339/33391
33399	Ostatní zprostředkovatelé služeb jinde neuvedení	3/33/333/3339/33399
33311	Odbytoví agenti	3/33/333/3331/33311
33312	Agenti dopravy a přepravy	3/33/333/3331/33312
33313	Celní deklaranti	3/33/333/3331/33313
33419	Vedoucí ostatních úředníků	3/33/334/3341/33419
33411	Vedoucí všeobecných administrativních pracovníků	3/33/334/3341/33411
33412	Vedoucí všeobecných sekretářů	3/33/334/3341/33412
33417	Vedoucí úředníků v logistice	3/33/334/3341/33417
33416	Vedoucí úředníků pro zpracování číselných údajů	3/33/334/3341/33416
33415	Vedoucí pracovníků informačních služeb	3/33/334/3341/33415
33414	Vedoucí pokladníků a přepážkových pracovníků	3/33/334/3341/33414
33413	Vedoucí pracovníků pro zadávání dat a zpracování textů	3/33/334/3341/33413
33420	Odborní administrativní pracovníci v právní oblasti	3/33/334/3342/33420
33432	Odborní pracovníci hospodářské správy	3/33/334/3343/33432
33433	Odborní pracovníci organizace a řízení	3/33/334/3343/33433
33434	Odborní pracovníci bezpečnostních systémů a ochrany údajů	3/33/334/3343/33434
33435	Odborní pracovníci v oblasti kvality a certifikace systému řízení (ISO)	3/33/334/3343/33435
33436	Odborní pracovníci zahraničních vztahů a služeb, vnitřních věcí státu a regionálního rozvoje	3/33/334/3343/33436
33437	Odborní pracovníci v oblasti správy školství, kultury a zdravotnictví	3/33/334/3343/33437
33438	Odborní pracovníci v oblasti správy průmyslu a dopravy	3/33/334/3343/33438
33439	Ostatní odborní pracovníci v administrativě a správě organizace	3/33/334/3343/33439
33431	Odborní asistenti v administrativě	3/33/334/3343/33431
33440	Odborní administrativní pracovníci v oblasti zdravotnictví	3/33/334/3344/33440
33554	Vrchní komisaři Policie ČR	3/33/335/3355/33554
33555	Radové Policie ČR	3/33/335/3355/33555
33551	Inspektoři Policie ČR	3/33/335/3355/33551
33553	Komisaři Policie ČR	3/33/335/3355/33553
33552	Vrchní inspektoři Policie ČR	3/33/335/3355/33552
33590	Pracovníci veřejné správy v oblasti státních regulací jinde neuvedení	3/33/335/3359/33590
33530	Pracovníci veřejné správy v oblasti sociálních a jiných dávek	3/33/335/3353/33530
33520	Pracovníci veřejné správy v oblasti daní	3/33/335/3352/33520
33512	Asistenti Celní správy ČR	3/33/335/3351/33512
33519	Ostatní pracovníci Celní správy ČR	3/33/335/3351/33519
33518	Radové Celní správy ČR	3/33/335/3351/33518
33517	Vrchní komisaři Celní správy ČR	3/33/335/3351/33517
33516	Komisaři Celní správy ČR	3/33/335/3351/33516
33515	Vrchní inspektoři Celní správy ČR	3/33/335/3351/33515
33513	Vrchní asistenti Celní správy ČR	3/33/335/3351/33513
33511	Vrchní referenti Celní správy ČR	3/33/335/3351/33511
33514	Inspektoři Celní správy ČR	3/33/335/3351/33514
33540	Pracovníci veřejné správy vydávající různá povolení	3/33/335/3354/33540
34122	Sociální pracovníci v oblasti zdravotnictví (kromě péče o zdravotně postižené)	3/34/341/3412/34122
34129	Ostatní odborní pracovníci v sociální oblasti	3/34/341/3412/34129
34127	Sociální pracovníci v oblasti poradenství (včetně pedagogicko-psychologických poraden)	3/34/341/3412/34127
34126	Sociální pracovníci v azylových domech, probačních střediscích, nápravných a jiných zařízeních	3/34/341/3412/34126
34125	Sociální pracovníci v oblasti péče o děti a mládež (kromě péče o zdravotně postižené)	3/34/341/3412/34125
34123	Sociální pracovníci v oblasti péče o zdravotně postižené	3/34/341/3412/34123
34121	Sociální pracovníci a ostatní odborní pracovníci v sociální oblasti ve veřejné správě	3/34/341/3412/34121
34124	Sociální pracovníci v oblasti péče o seniory (kromě péče o zdravotně postižené)	3/34/341/3412/34124
34130	Odborní pracovníci v církevní oblasti a v příbuzných oborech	3/34/341/3413/34130
34111	Právní asistenti	3/34/341/3411/34111
34112	Soudní vykonavatelé	3/34/341/3411/34112
34113	Odborní bezpečnostní pracovníci bezpečnostních a detektivních agentur	3/34/341/3411/34113
34119	Ostatní odborní pracovníci v právní oblasti a příbuzných oborech	3/34/341/3411/34119
34221	Sportovní trenéři a instruktoři (kromě na školách)	3/34/342/3422/34221
34223	Úředníci sportovních klubů	3/34/342/3422/34223
34222	Sportovní trenéři a instruktoři na školách se sportovním zaměřením	3/34/342/3422/34222
34230	Instruktoři a programoví vedoucí v rekreačních zařízeních a fitcentrech	3/34/342/3423/34230
34210	Atleti a ostatní profesionální sportovci	3/34/342/3421/34210
34324	Návrháři (grafici) reklamní, komerční, propagační	3/34/343/3432/34324
34325	Návrháři (modeláři) výstavních modelů	3/34/343/3432/34325
34323	Návrháři dekorací, rekvizit, kostýmů	3/34/343/3432/34323
34322	Návrháři interiérů	3/34/343/3432/34322
34321	Aranžéři	3/34/343/3432/34321
34329	Ostatní pracovníci příbuzní aranžérům	3/34/343/3432/34329
34331	Konzervátoři (kromě uměleckých)	3/34/343/3433/34331
34332	Restaurátoři (kromě uměleckých)	3/34/343/3433/34332
34333	Preparátoři (kromě uměleckých)	3/34/343/3433/34333
34334	Odborní správci výstav a depozitářů	3/34/343/3433/34334
34339	Ostatní odborní pracovníci v galeriích, muzeích a knihovnách	3/34/343/3433/34339
34344	Šéfcukráři	3/34/343/3434/34344
34349	Ostatní šéfkuchaři	3/34/343/3434/34349
34342	Šéfkuchaři v hotelových restauracích	3/34/343/3434/34342
34341	Šéfkuchaři v jídelnách, menzách	3/34/343/3434/34341
34343	Šéfkuchaři v pohostinství	3/34/343/3434/34343
34352	Asistenti choreografie	3/34/343/3435/34352
34353	Asistenti audiovize	3/34/343/3435/34353
34354	Komparzisté	3/34/343/3435/34354
34355	Kaskadéři	3/34/343/3435/34355
34359	Odborní pracovníci v oblasti umění a kultury jinde neuvedení	3/34/343/3435/34359
34351	Asistenti režie	3/34/343/3435/34351
34311	Umělečtí, reklamní fotografové	3/34/343/3431/34311
34312	Fotoreportéři	3/34/343/3431/34312
34313	Techničtí fotografové	3/34/343/3431/34313
34319	Ostatní fotografové	3/34/343/3431/34319
35110	Technici provozu informačních a komunikačních technologií, technici programátoři	3/35/351/3511/35110
35140	Správci webu	3/35/351/3514/35140
35120	Technici uživatelské podpory informačních a komunikačních technologií	3/35/351/3512/35120
35130	Technici počítačových sítí a systémů	3/35/351/3513/35130
35212	Technici videozáznamů	3/35/352/3521/35212
35213	Technici audiovize	3/35/352/3521/35213
35214	Technici promítacích zařízení	3/35/352/3521/35214
35219	Ostatní technici v oblasti vysílání a audiovizuálních záznamů	3/35/352/3521/35219
35211	Zvukaři a osvětlovači	3/35/352/3521/35211
35224	Technici přípravy a realizace investic, inženýringu v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35224
35229	Ostatní technici v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35229
35228	Revizní technici, inspektoři v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35228
35227	Technici dispečeři v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35227
35221	Technici ve výzkumu a vývoji v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35221
35223	Technici technologové v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35223
35222	Technici projektanti, konstruktéři v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35222
35226	Technici přístrojů, strojů a zařízení v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35226
35225	Technici kontroly kvality, laboranti v oblasti telekomunikací a radiokomunikací	3/35/352/3522/35225
41100	Všeobecní administrativní pracovníci	4/41/411/4110/41100
41200	Sekretáři (všeobecní)	4/41/412/4120/41200
41311	Pracovníci pro zpracování textů	4/41/413/4131/41311
41312	Písaři	4/41/413/4131/41312
41322	Operátoři počítačů pro kontrolu dat	4/41/413/4132/41322
41323	Operátoři počítačů pro třídění a evidenci dat	4/41/413/4132/41323
41321	Operátoři počítačů pro vkládání dat	4/41/413/4132/41321
42112	Pokladníci na poštách	4/42/421/4211/42112
42113	Přepážkoví pracovníci na poštách	4/42/421/4211/42113
42114	Směnárníci	4/42/421/4211/42114
42119	Ostatní pracovníci příbuzní pokladníkům ve finančních institucích	4/42/421/4211/42119
42111	Pokladníci ve finančních institucích	4/42/421/4211/42111
42124	Pracovníci heren (kromě krupiérů)	4/42/421/4212/42124
42121	Bookmakeři	4/42/421/4212/42121
42122	Úředníci sázkových kanceláří	4/42/421/4212/42122
42123	Krupiéři	4/42/421/4212/42123
42130	Zastavárníci a půjčovatelé peněz	4/42/421/4213/42130
42140	Inkasisté pohledávek a příbuzní pracovníci	4/42/421/4214/42140
42230	Operátoři telefonních panelů	4/42/422/4223/42230
42240	Recepční v hotelích a dalších ubytovacích zařízeních	4/42/422/4224/42240
42250	Pracovníci v informačních kancelářích	4/42/422/4225/42250
42260	Recepční (kromě recepčních v hotelích a dalších ubytovacích zařízeních)	4/42/422/4226/42260
42270	Tazatelé průzkumů	4/42/422/4227/42270
42290	Pracovníci informačních služeb jinde neuvedení	4/42/422/4229/42290
42220	Pracovníci v zákaznických kontaktních centrech	4/42/422/4222/42220
42211	Konzultanti a organizátoři zájezdů	4/42/422/4221/42211
42212	Úředníci cestovních kanceláří a agentur	4/42/422/4221/42212
42219	Ostatní pracovníci cestovního ruchu (kromě průvodců)	4/42/422/4221/42219
43124	Úředníci v oblasti peněžnictví	4/43/431/4312/43124
43125	Úředníci v oblasti pojišťovnictví	4/43/431/4312/43125
43122	Úředníci v oblasti financí	4/43/431/4312/43122
43121	Úředníci v oblasti statistiky	4/43/431/4312/43121
43129	Ostatní úředníci v oblasti finančnictví	4/43/431/4312/43129
43123	Úředníci v oblasti daní	4/43/431/4312/43123
43130	Mzdoví účetní	4/43/431/4313/43130
43112	Účetní finanční a investiční	4/43/431/4311/43112
43113	Účetní materiáloví	4/43/431/4311/43113
43114	Pracovníci kalkulací, cen a nákladů	4/43/431/4311/43114
43115	Fakturanti	4/43/431/4311/43115
43119	Ostatní úředníci v oblasti účetnictví	4/43/431/4311/43119
43111	Účetní všeobecní	4/43/431/4311/43111
43220	Úředníci ve výrobě	4/43/432/4322/43220
43233	Provozní technici v dopravě	4/43/432/4323/43233
43239	Ostatní pracovníci v dopravě a přepravě	4/43/432/4323/43239
43238	Nádražní	4/43/432/4323/43238
43237	Komandující	4/43/432/4323/43237
43236	Dozorčí přepravy a depa	4/43/432/4323/43236
43234	Operátoři dopravy a přepravy, vozoví disponenti	4/43/432/4323/43234
43232	Dopravní dispečeři	4/43/432/4323/43232
43231	Mistři v dopravě	4/43/432/4323/43231
43235	Výpravčí	4/43/432/4323/43235
43210	Úředníci ve skladech	4/43/432/4321/43210
44125	Doručovatelé listovních poštovních zásilek	4/44/441/4412/44125
44126	Motorizovaní doručovatelé poštovních zásilek	4/44/441/4412/44126
44123	Pracovníci poštovní přepravy	4/44/441/4412/44123
44122	Kontroloři poštovního provozu	4/44/441/4412/44122
44121	Pracovníci vnitřní poštovní služby	4/44/441/4412/44121
44124	Třídiči poštovních zásilek	4/44/441/4412/44124
44129	Ostatní pracovníci poštovního provozu (kromě úředníků na přepážkách)	4/44/441/4412/44129
44199	Ostatní úředníci jinde neuvedení	4/44/441/4419/44199
44191	Úředníci vnitřních věcí státu a regionálního rozvoje	4/44/441/4419/44191
44192	Úředníci zahraničních vztahů a služeb	4/44/441/4419/44192
44193	Úředníci v oblasti správy školství, kultury a zdravotnictví	4/44/441/4419/44193
44194	Úředníci v oblasti správy průmyslu a dopravy	4/44/441/4419/44194
44160	Personální referenti	4/44/441/4416/44160
44130	Korektoři, kódovači a příbuzní pracovníci	4/44/441/4413/44130
44110	Knihovníci	4/44/441/4411/44110
44150	Pracovníci evidence dat a archivů	4/44/441/4415/44150
51111	Stevardi a letušky v letadlech	5/51/511/5111/51111
51112	Obslužní pracovníci v dopravě (kromě stevardů a letušek v letadlech)	5/51/511/5111/51112
51121	Vlakvedoucí v osobní dopravě	5/51/511/5112/51121
51122	Průvodčí vlaků v osobní dopravě	5/51/511/5112/51122
51123	Revizoři v osobní dopravě	5/51/511/5112/51123
51129	Ostatní průvodčí a příbuzní pracovníci v osobní dopravě	5/51/511/5112/51129
51131	Průvodci a delegáti v cestovním ruchu	5/51/511/5113/51131
51132	Průvodci v kulturních zařízeních	5/51/511/5113/51132
51133	Horští průvodci	5/51/511/5113/51133
51139	Ostatní průvodci	5/51/511/5113/51139
51201	Kuchaři (kromě šéfkuchařů)	5/51/512/5120/51201
51202	Kuchaři speciálních diet	5/51/512/5120/51202
51203	Pomocní kuchaři	5/51/512/5120/51203
51310	Číšníci a servírky	5/51/513/5131/51310
51321	Barmani	5/51/513/5132/51321
51322	Baristé	5/51/513/5132/51322
51329	Ostatní pracovníci příbuzní barmanům	5/51/513/5132/51329
51410	Kadeřníci	5/51/514/5141/51410
51421	Kosmetici a maskéři	5/51/514/5142/51421
51422	Manikéři a pedikéři	5/51/514/5142/51422
51423	Maséři (kromě odborných masérů ve zdravotnictví)	5/51/514/5142/51423
51429	Ostatní pracovníci v oborech příbuzných kosmetice	5/51/514/5142/51429
51521	Hospodyně v domácnostech	5/51/515/5152/51521
51522	Provozovatelé malých penzionů	5/51/515/5152/51522
51512	Vedoucí provozu v ubytování, stravování a pohostinství (kromě školních jídelen a menz)	5/51/515/5151/51512
51513	Vedoucí provozu sportovních zařízení	5/51/515/5151/51513
51511	Vedoucí provozu školních jídelen a menz	5/51/515/5151/51511
51519	Vedoucí provozu v ostatních zařízeních	5/51/515/5151/51519
51530	Správci objektů	5/51/515/5153/51530
51620	Osobní sluhové a příbuzní pracovníci	5/51/516/5162/51620
51630	Pracovníci v pohřebnictví	5/51/516/5163/51630
51645	Cvičitelé zvířat jiných než služebních	5/51/516/5164/51645
51642	Chovatelé a ošetřovatelé laboratorních zvířat	5/51/516/5164/51642
51649	Ostatní chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci	5/51/516/5164/51649
51643	Chovatelé a ošetřovatelé služebních zvířat	5/51/516/5164/51643
51641	Chovatelé a ošetřovatelé zvířat v zoo	5/51/516/5164/51641
51644	Instruktoři výcviku služebních zvířat	5/51/516/5164/51644
51650	Instruktoři autoškoly	5/51/516/5165/51650
51690	Pracovníci v oblasti osobních služeb jinde neuvedení	5/51/516/5169/51690
51610	Astrologové, jasnovidci a pracovníci v příbuzných oborech	5/51/516/5161/51610
52110	Stánkoví prodavači potravin (kromě rychlého občerstvení)	5/52/521/5211/52110
52120	Pouliční prodavači rychlého občerstvení	5/52/521/5212/52120
52220	Vedoucí pracovních týmů v prodejnách	5/52/522/5222/52220
52232	Prodavači potravinářského zboží	5/52/522/5223/52232
52239	Prodavači ostatního zboží v prodejnách	5/52/522/5223/52239
52238	Prodavači sportovních potřeb	5/52/522/5223/52238
52237	Prodavači stavebnin a příbuzného materiálu	5/52/522/5223/52237
52236	Prodavači elektrotechniky, elektroniky a domácích potřeb	5/52/522/5223/52236
52235	Prodavači textilu, obuvi a kožené galanterie	5/52/522/5223/52235
52233	Prodavači drobného zboží, klenotů, nábytku a bytových doplňků	5/52/522/5223/52233
52231	Prodavači smíšeného zboží	5/52/522/5223/52231
52234	Prodavači drogistického zboží, kosmetiky	5/52/522/5223/52234
52210	Provozovatelé maloobchodních a velkoobchodních prodejen	5/52/522/5221/52210
52305	Pokladníci a prodavači jízdenek v osobní dopravě	5/52/523/5230/52305
52301	Hlavní pokladníci v organizacích, prodejnách a různých zařízeních	5/52/523/5230/52301
52309	Ostatní pokladníci a prodavači vstupenek a jízdenek	5/52/523/5230/52309
52302	Pokladníci v organizacích	5/52/523/5230/52302
52303	Pokladníci v prodejnách	5/52/523/5230/52303
52304	Pokladníci a prodavači vstupenek v kulturních zařízeních	5/52/523/5230/52304
52460	Obsluha v zařízeních rychlého občerstvení	5/52/524/5246/52460
52499	Pracovníci v oblasti prodeje jinde neuvedení	5/52/524/5249/52499
52491	Pracovníci v půjčovnách	5/52/524/5249/52491
52410	Modelky a manekýni	5/52/524/5241/52410
52450	Obsluha čerpacích stanic a mycích linek dopravních prostředků	5/52/524/5245/52450
52440	Prodejci po telefonu	5/52/524/5244/52440
52420	Předváděči zboží	5/52/524/5242/52420
52430	Podomní prodejci	5/52/524/5243/52430
53119	Ostatní pracovníci péče o děti v mimoškolských zařízeních	5/53/531/5311/53119
53113	Pracovníci péče o děti v oblasti předškolní výchovy v mimoškolských zařízeních	5/53/531/5311/53113
53111	Zdravotničtí pracovníci péče o děti v mimoškolských zařízeních	5/53/531/5311/53111
53112	Pracovníci péče o děti v domácnostech	5/53/531/5311/53112
53121	Asistenti učitelů	5/53/531/5312/53121
53122	Asistenti vychovatelů	5/53/531/5312/53122
53123	Asistenti pedagogů v poradenských zařízeních	5/53/531/5312/53123
53213	Koordinační pracovníci v sociálních službách v oblasti pobytové péče	5/53/532/5321/53213
53219	Ostatní pracovníci v sociálních službách v oblasti pobytové péče	5/53/532/5321/53219
53211	Ošetřovatelé v oblasti pobytové péče	5/53/532/5321/53211
53212	Pracovníci přímé obslužné péče v oblasti pobytové péče	5/53/532/5321/53212
53222	Pracovníci přímé obslužné péče v oblasti ambulantních a terénních služeb a pečovatelé v oblasti domácí péče	5/53/532/5322/53222
53223	Koordinační pracovníci v sociálních službách v oblasti ambulantních a terénních služeb a domácí péče	5/53/532/5322/53223
53229	Ostatní pracovníci v sociálních službách v oblasti ambulantních a terénních služeb a domácí péče	5/53/532/5322/53229
53221	Ošetřovatelé v oblasti ambulantních a terénních služeb a domácí péče	5/53/532/5322/53221
53299	Ostatní pracovníci osobní péče ve zdravotní a sociální oblasti jinde neuvedení	5/53/532/5329/53299
53293	Autoptičtí laboranti	5/53/532/5329/53293
53294	Zubní instrumentáři	5/53/532/5329/53294
53295	Sanitáři	5/53/532/5329/53295
53296	Řidiči vozidel zdravotnické záchranné služby	5/53/532/5329/53296
54125	Strážníci	5/54/541/5412/54125
54122	Vrchní referenti Policie ČR	5/54/541/5412/54122
54121	Referenti Policie ČR	5/54/541/5412/54121
54124	Vrchní asistenti Policie ČR	5/54/541/5412/54124
54123	Asistenti Policie ČR	5/54/541/5412/54123
54191	Plavčíci, strážci pláží	5/54/541/5419/54191
54192	Pracovníci horské záchranné služby	5/54/541/5419/54192
54193	Vodní záchranáři	5/54/541/5419/54193
54194	Strážci přírody	5/54/541/5419/54194
54199	Ostatní pracovníci v oblasti ochrany a ostrahy	5/54/541/5419/54199
54139	Ostatní pracovníci vězeňské služby	5/54/541/5413/54139
54131	Referenti a vrchní referenti Vězeňské služby ČR	5/54/541/5413/54131
54132	Asistenti Vězeňské služby ČR	5/54/541/5413/54132
54133	Vrchní asistenti Vězeňské služby ČR	5/54/541/5413/54133
54134	Inspektoři Vězeňské služby ČR	5/54/541/5413/54134
54135	Vrchní inspektoři Vězeňské služby ČR	5/54/541/5413/54135
54136	Komisaři Vězeňské služby ČR	5/54/541/5413/54136
54137	Vrchní komisaři Vězeňské služby ČR	5/54/541/5413/54137
54138	Radové Vězeňské služby ČR	5/54/541/5413/54138
54149	Ostatní pracovníci ostrahy a bezpečnostních agentur	5/54/541/5414/54149
54144	Operátoři bezpečnostních služeb	5/54/541/5414/54144
54143	Osobní, tělesní strážci	5/54/541/5414/54143
54141	Vrátní	5/54/541/5414/54141
54142	Pracovníci ostrahy, strážní	5/54/541/5414/54142
54119	Ostatní příslušníci HZS ČR	5/54/541/5411/54119
54116	Hasiči dobrovolných sborů podniků	5/54/541/5411/54116
54115	Hasiči dobrovolných sborů obcí	5/54/541/5411/54115
54114	Hasiči podnikových sborů	5/54/541/5411/54114
54113	Zaměstnanci ve vojenských hasičských jednotkách	5/54/541/5411/54113
54111	Příslušníci v jednotkách požární ochrany HZS ČR	5/54/541/5411/54111
54112	Příslušníci operačních středisek HZS ČR	5/54/541/5411/54112
61110	Pěstitelé zemědělských plodin	6/61/611/6111/61110
61120	Ovocnáři, vinohradníci, chmelaři a ostatní pěstitelé plodů rostoucích na stromech a keřích	6/61/611/6112/61120
